Breakout
Episode Number,Episode Steps,Reward,Score,Epsilon
3713,789,20.0,23.0,0.05
3714,866,22.0,31.0,0.05
3715,995,26.0,38.0,0.05
3716,995,26.0,41.0,0.05
3717,931,27.0,39.0,0.05
3718,729,18.0,21.0,0.05
3719,713,16.0,16.0,0.05
3720,1141,31.0,37.0,0.05
3721,839,22.0,31.0,0.05
3722,1018,25.0,37.0,0.05
3723,1116,30.0,36.0,0.05
3724,657,18.0,30.0,0.05
3725,951,24.0,27.0,0.05
3726,603,16.0,16.0,0.05
3727,763,22.0,28.0,0.05
3728,1221,31.0,49.0,0.05
3729,1038,28.0,40.0,0.05
3730,1204,33.0,51.0,0.05
3731,936,20.0,23.0,0.05
3732,751,20.0,29.0,0.05
3733,848,17.0,23.0,0.05
3734,761,21.0,30.0,0.05
3735,907,27.0,33.0,0.05
3736,896,21.0,24.0,0.05
3737,898,25.0,28.0,0.05
3738,1034,27.0,36.0,0.05
3739,977,27.0,39.0,0.05
3740,1223,33.0,54.0,0.05
3741,851,24.0,27.0,0.05
3742,750,20.0,26.0,0.05
3743,1063,29.0,41.0,0.05
3744,988,27.0,39.0,0.05
3745,914,25.0,25.0,0.05
3746,773,22.0,31.0,0.05
3747,1131,31.0,49.0,0.05
3748,843,23.0,23.0,0.05
3749,875,24.0,30.0,0.05
3750,1073,26.0,41.0,0.05
3751,788,23.0,29.0,0.05
3752,479,11.0,11.0,0.05
3753,1012,25.0,31.0,0.05
3754,885,22.0,31.0,0.05
3755,1101,29.0,47.0,0.05
3756,579,15.0,18.0,0.05
3757,677,19.0,25.0,0.05
3758,931,25.0,31.0,0.05
3759,791,22.0,31.0,0.05
3760,999,26.0,38.0,0.05
3761,829,22.0,31.0,0.05
3762,715,19.0,22.0,0.05
3763,619,16.0,19.0,0.05
3764,944,25.0,34.0,0.05
3765,621,15.0,21.0,0.05
3766,849,22.0,34.0,0.05
3767,897,22.0,31.0,0.05
3768,684,13.0,16.0,0.05
3769,1096,26.0,38.0,0.05
3770,667,15.0,18.0,0.05
3771,1022,25.0,34.0,0.05
3772,876,22.0,31.0,0.05
3773,802,21.0,27.0,0.05
3774,893,22.0,37.0,0.05
3775,1334,30.0,42.0,0.05
3776,587,14.0,14.0,0.05
3777,651,19.0,31.0,0.05
3778,752,19.0,28.0,0.05
3779,846,23.0,26.0,0.05
3780,878,24.0,39.0,0.05
3781,946,25.0,31.0,0.05
3782,1142,30.0,42.0,0.05
3783,613,16.0,25.0,0.05
3784,817,22.0,34.0,0.05
3785,642,14.0,17.0,0.05
3786,1358,30.0,36.0,0.05
3787,905,23.0,32.0,0.05
3788,1054,25.0,37.0,0.05
3789,1091,23.0,32.0,0.05
3790,751,17.0,20.0,0.05
3791,1145,31.0,46.0,0.05
3792,1036,28.0,43.0,0.05
3793,886,23.0,35.0,0.05
3794,989,27.0,39.0,0.05
3795,756,21.0,30.0,0.05
3796,974,28.0,40.0,0.05
3797,900,24.0,36.0,0.05
3798,839,23.0,32.0,0.05
3799,953,27.0,33.0,0.05
3800,938,25.0,37.0,0.05
3801,1098,29.0,35.0,0.05
3802,882,24.0,30.0,0.05
3803,848,23.0,44.0,0.05
3804,893,24.0,45.0,0.05
3805,1206,34.0,55.0,0.05
3806,1010,27.0,36.0,0.05
3807,855,16.0,22.0,0.05
3808,711,19.0,31.0,0.05
3809,794,19.0,22.0,0.05
3810,794,19.0,22.0,0.05
3811,1027,21.0,24.0,0.05
3812,1126,30.0,42.0,0.05
3813,909,23.0,32.0,0.05
3814,801,20.0,26.0,0.05
3815,958,23.0,38.0,0.05
3816,893,20.0,23.0,0.05
3817,1282,37.0,70.0,0.05
3818,1205,31.0,46.0,0.05
3819,588,14.0,23.0,0.05
