Pong
Episode Number,Episode Steps,Reward,Score,Epsilon
1459,3185,4.0,4.0,0.05
1460,3335,2.0,2.0,0.05
1461,3539,2.0,2.0,0.05
1462,3246,2.0,2.0,0.05
1463,3207,1.0,1.0,0.05
1464,2717,-6.0,-6.0,0.05
1465,2774,4.0,4.0,0.05
1466,3026,5.0,5.0,0.05
1467,2253,-8.0,-8.0,0.05
1468,3516,1.0,1.0,0.05
1469,2921,-7.0,-7.0,0.05
1470,3069,-8.0,-8.0,0.05
1471,2822,-8.0,-8.0,0.05
1472,3157,-3.0,-3.0,0.05
1473,2750,-6.0,-6.0,0.05
1474,3250,-3.0,-3.0,0.05
1475,3488,2.0,2.0,0.05
1476,2488,-11.0,-11.0,0.05
1477,2360,-12.0,-12.0,0.05
1478,2556,-12.0,-12.0,0.05
1479,2564,-6.0,-6.0,0.05
1480,2692,-7.0,-7.0,0.05
1481,2891,-5.0,-5.0,0.05
1482,2864,-5.0,-5.0,0.05
1483,2898,-4.0,-4.0,0.05
1484,3362,-1.0,-1.0,0.05
1485,2906,6.0,6.0,0.05
1486,3184,-2.0,-2.0,0.05
1487,3087,3.0,3.0,0.05
1488,2241,-11.0,-11.0,0.05
1489,2515,-7.0,-7.0,0.05
1490,2989,5.0,5.0,0.05
1491,2855,5.0,5.0,0.05
1492,3011,1.0,1.0,0.05
1493,3284,3.0,3.0,0.05
1494,2239,-10.0,-10.0,0.05
1495,2864,-8.0,-8.0,0.05
1496,2652,-7.0,-7.0,0.05
1497,2933,-2.0,-2.0,0.05
1498,3610,-1.0,-1.0,0.05
1499,3183,3.0,3.0,0.05
1500,2010,-13.0,-13.0,0.05
1501,3258,-2.0,-2.0,0.05
1502,3482,-1.0,-1.0,0.05
1503,3237,5.0,5.0,0.05
1504,3075,-2.0,-2.0,0.05
1505,3065,-3.0,-3.0,0.05
1506,3692,-1.0,-1.0,0.05
1507,3486,1.0,1.0,0.05
1508,3668,-1.0,-1.0,0.05
1509,3112,-2.0,-2.0,0.05
1510,3181,3.0,3.0,0.05
1511,3481,-3.0,-3.0,0.05
1512,3564,-2.0,-2.0,0.05
1513,3400,-2.0,-2.0,0.05
1514,2570,-10.0,-10.0,0.05
1515,3774,-1.0,-1.0,0.05
1516,3359,-1.0,-1.0,0.05
1517,3223,-6.0,-6.0,0.05
1518,2972,2.0,2.0,0.05
1519,3064,-3.0,-3.0,0.05
1520,2724,7.0,7.0,0.05
1521,2917,3.0,3.0,0.05
1522,2875,9.0,9.0,0.05
1523,2574,-7.0,-7.0,0.05
1524,3228,1.0,1.0,0.05
1525,2647,7.0,7.0,0.05
1526,2873,5.0,5.0,0.05
1527,2685,6.0,6.0,0.05
1528,3062,3.0,3.0,0.05
