Breakout,,,,,
Episode Number,Episode Steps,Cumulative Steps,Reward,Score,Epsilon
878,221,219054,3,3,0.1
879,398,219452,6,6,0.1
880,370,219822,8,11,0.1
881,329,220151,6,9,0.1
882,410,220561,8,11,0.1
883,267,220828,5,11,0.1
884,242,221070,4,4,0.1
885,326,221396,6,9,0.1
886,274,221670,5,8,0.1
887,405,222075,8,8,0.1
888,355,222430,6,6,0.1
889,215,222645,3,3,0.1
890,279,222924,5,8,0.1
891,358,223282,6,6,0.1
892,215,223497,3,3,0.1
893,288,223785,5,8,0.1
894,265,224050,4,4,0.1
895,212,224262,3,3,0.1
896,249,224511,4,4,0.1
897,229,224740,3,3,0.1
898,315,225055,5,5,0.1
899,426,225481,7,7,0.1
900,211,225692,3,3,0.1
901,245,225937,4,4,0.1
902,245,226182,4,4,0.1
903,326,226508,5,5,0.1
904,327,226835,6,9,0.1
905,342,227177,6,6,0.1
906,213,227390,3,3,0.1
907,345,227735,6,9,0.1
908,308,228043,6,9,0.1
909,271,228314,4,4,0.1
910,244,228558,4,4,0.1
911,294,228852,5,8,0.1
912,361,229213,7,10,0.1
913,428,229641,8,11,0.1
914,288,229929,5,5,0.1
915,474,230403,10,13,0.1
916,308,230711,6,6,0.1
917,284,230995,5,8,0.1
918,277,231272,5,8,0.1
919,378,231650,6,9,0.1
920,306,231956,6,6,0.1
921,504,232460,10,10,0.1
922,418,232878,8,11,0.1
923,277,233155,5,8,0.1
924,307,233462,6,9,0.1
925,312,233774,5,8,0.1
926,359,234133,7,13,0.1
927,389,234522,6,9,0.1
928,314,234836,6,6,0.1
929,272,235108,4,4,0.1
930,395,235503,7,10,0.1
931,372,235875,7,10,0.1
932,469,236344,6,12,0.1
933,300,236644,6,12,0.1
934,322,236966,6,12,0.1
935,269,237235,5,11,0.1
936,349,237584,7,13,0.1
937,307,237891,5,8,0.1
938,247,238138,4,7,0.1
939,249,238387,4,4,0.1
940,320,238707,6,12,0.1
941,364,239071,6,6,0.1
942,298,239369,5,8,0.1
943,462,239831,9,12,0.1
944,247,240078,4,7,0.1
945,262,240340,4,4,0.1
946,321,240661,6,9,0.1
947,278,240939,5,8,0.1
948,444,241383,9,12,0.1
949,365,241748,6,6,0.1
950,461,242209,9,15,0.1
951,446,242655,7,13,0.1
952,412,243067,8,11,0.1
953,381,243448,7,10,0.1
954,397,243845,7,10,0.1
955,357,244202,6,9,0.1
956,541,244743,12,18,0.1
957,283,245026,5,8,0.1
958,324,245350,5,8,0.1
959,369,245719,7,13,0.1
960,364,246083,8,17,0.1
961,293,246376,5,8,0.1
962,379,246755,7,10,0.1
963,231,246986,3,3,0.1
964,246,247232,4,7,0.1
965,366,247598,6,9,0.1
966,451,248049,9,15,0.1
967,413,248462,8,11,0.1
968,383,248845,7,10,0.1
969,276,249121,5,8,0.1
970,449,249570,8,11,0.1
971,463,250033,9,15,0.1
972,441,250474,8,8,0.1
973,440,250914,9,9,0.1
974,460,251374,8,11,0.1
975,298,251672,5,5,0.1
976,403,252075,7,10,0.1
977,277,252352,5,8,0.1
978,180,252532,2,2,0.1
979,358,252890,7,10,0.1
980,531,253421,10,10,0.1
981,504,253925,10,16,0.1
982,246,254171,4,4,0.1
983,340,254511,6,6,0.1
984,414,254925,8,11,0.1
985,286,255211,4,4,0.1
986,556,255767,11,14,0.1
987,314,256081,5,5,0.1
988,267,256348,5,11,0.1
989,503,256851,10,10,0.1
990,358,257209,6,6,0.1
991,377,257586,8,11,0.1
992,263,257849,4,4,0.1
993,295,258144,5,5,0.1
994,429,258573,8,11,0.1
995,300,258873,5,8,0.1
996,292,259165,5,5,0.1
997,465,259630,9,9,0.1
998,291,259921,5,5,0.1
999,472,260393,9,15,0.1
1000,220,260613,3,3,0.1
1001,405,261018,8,11,0.1
1002,331,261349,7,13,0.1
1003,295,261644,5,5,0.1
1004,362,262006,7,10,0.1
1005,458,262464,9,12,0.1
1006,326,262790,6,6,0.1
1007,361,263151,7,10,0.1
1008,423,263574,8,11,0.1
1009,273,263847,5,5,0.1
1010,258,264105,4,4,0.1
1011,481,264586,9,9,0.1
1012,377,264963,7,10,0.1
1013,368,265331,7,7,0.1
1014,231,265562,3,3,0.1
1015,248,265810,3,3,0.1
1016,432,266242,9,15,0.1
1017,371,266613,6,6,0.1
1018,438,267051,9,12,0.1
1019,391,267442,8,8,0.1
1020,340,267782,6,6,0.1
1021,492,268274,9,12,0.1
1022,475,268749,9,12,0.1
1023,387,269136,8,14,0.1
1024,321,269457,6,6,0.1
1025,335,269792,6,9,0.1
1026,427,270219,9,12,0.1
1027,326,270545,6,9,0.1
1028,465,271010,10,10,0.1
1029,401,271411,8,11,0.1
1030,457,271868,10,10,0.1
1031,408,272276,8,8,0.1
1032,504,272780,10,10,0.1
1033,283,273063,5,5,0.1
1034,450,273513,8,11,0.1
1035,329,273842,7,13,0.1
1036,327,274169,6,6,0.1
1037,490,274659,10,13,0.1
1038,318,274977,6,12,0.1
1039,315,275292,6,9,0.1
1040,406,275698,8,8,0.1
1041,295,275993,5,8,0.1
1042,348,276341,6,6,0.1
1043,317,276658,5,5,0.1
1044,530,277188,11,11,0.1
1045,352,277540,7,7,0.1
1046,224,277764,2,2,0.1
1047,341,278105,7,10,0.1
1048,337,278442,6,6,0.1
1049,536,278978,11,14,0.1
1050,312,279290,5,5,0.1
1051,365,279655,6,6,0.1
1052,253,279908,4,4,0.1
1053,373,280281,7,10,0.1
1054,559,280840,12,12,0.1
1055,230,281070,3,3,0.1
1056,355,281425,6,6,0.1
1057,445,281870,9,12,0.1
1058,291,282161,5,5,0.1
1059,380,282541,7,7,0.1
1060,632,283173,11,17,0.1
1061,372,283545,7,7,0.1
1062,267,283812,4,4,0.1
1063,381,284193,8,14,0.1
1064,391,284584,7,7,0.1
1065,371,284955,6,9,0.1
1066,387,285342,8,11,0.1
1067,497,285839,9,9,0.1
1068,490,286329,10,10,0.1
1069,303,286632,5,5,0.1
1070,394,287026,6,9,0.1
1071,421,287447,7,7,0.1
1072,497,287944,10,13,0.1
1073,332,288276,6,6,0.1
1074,383,288659,7,13,0.1
1075,585,289244,12,15,0.1
1076,441,289685,8,8,0.1
1077,612,290297,11,11,0.1
1078,578,290875,10,10,0.1
1079,487,291362,7,7,0.1
1080,384,291746,7,13,0.1
1081,587,292333,11,17,0.1
1082,396,292729,8,11,0.1
1083,612,293341,12,12,0.1
1084,535,293876,9,12,0.1
1085,333,294209,5,5,0.1
1086,592,294801,12,15,0.1
1087,430,295231,9,12,0.1
1088,609,295840,13,16,0.1
1089,430,296270,8,8,0.1
1090,454,296724,9,15,0.1
1091,376,297100,7,7,0.1
1092,549,297649,11,14,0.1
1093,429,298078,8,11,0.1
1094,528,298606,11,17,0.1
1095,505,299111,9,12,0.1
1096,533,299644,11,14,0.1
1097,271,299915,5,11,0.1
1098,283,300198,5,5,0.1
1099,328,300526,6,9,0.1
1100,400,300926,8,8,0.1
1101,401,301327,8,11,0.1
1102,344,301671,6,6,0.1
1103,420,302091,9,12,0.1
1104,278,302369,5,8,0.1
1105,519,302888,9,9,0.1
1106,361,303249,6,6,0.1
1107,382,303631,8,8,0.1
1108,430,304061,9,9,0.1
1109,310,304371,5,5,0.1
1110,357,304728,6,6,0.1
1111,502,305230,10,13,0.1
1112,260,305490,4,4,0.1
1113,583,306073,12,12,0.1
1114,326,306399,6,6,0.1
1115,387,306786,7,7,0.1
1116,446,307232,9,15,0.1
1117,423,307655,7,10,0.1
1118,519,308174,11,14,0.1
1119,357,308531,6,6,0.1
1120,374,308905,7,10,0.1
1121,381,309286,8,14,0.1
1122,599,309885,12,15,0.1
1123,423,310308,8,14,0.1
1124,340,310648,6,6,0.1
1125,478,311126,10,10,0.1
1126,297,311423,5,5,0.1
1127,397,311820,8,14,0.1
1128,473,312293,11,17,0.1
1129,427,312720,8,8,0.1
1130,297,313017,5,8,0.1
1131,380,313397,7,10,0.1
1132,537,313934,11,17,0.1
1133,497,314431,11,14,0.1
1134,432,314863,9,9,0.1
1135,370,315233,7,7,0.1
1136,358,315591,7,10,0.1
1137,643,316234,13,16,0.1
1138,362,316596,7,7,0.1
1139,422,317018,8,8,0.1
1140,350,317368,7,7,0.1
1141,404,317772,8,11,0.1
1142,443,318215,9,12,0.1
1143,381,318596,7,10,0.1
1144,422,319018,9,12,0.1
1145,353,319371,7,13,0.1
1146,482,319853,10,13,0.1
1147,587,320440,14,17,0.1
1148,480,320920,10,13,0.1
1149,495,321415,11,20,0.1
1150,356,321771,8,14,0.1
1151,517,322288,10,10,0.1
1152,502,322790,10,13,0.1
1153,369,323159,7,7,0.1
1154,466,323625,10,13,0.1
1155,379,324004,8,11,0.1
1156,609,324613,13,16,0.1
1157,471,325084,10,13,0.1
1158,518,325602,11,14,0.1
1159,562,326164,11,14,0.1
1160,374,326538,7,7,0.1
1161,326,326864,6,6,0.1
1162,444,327308,9,9,0.1
1163,292,327600,5,5,0.1
1164,250,327850,4,4,0.1
1165,320,328170,6,6,0.1
1166,362,328532,7,10,0.1
1167,448,328980,9,9,0.1
1168,504,329484,9,12,0.1
1169,471,329955,10,13,0.1
1170,306,330261,6,6,0.1
1171,442,330703,9,12,0.1
1172,622,331325,13,13,0.1
1173,338,331663,7,13,0.1
1174,374,332037,7,7,0.1
1175,558,332595,10,13,0.1
1176,404,332999,7,13,0.1
1177,563,333562,10,13,0.1
1178,504,334066,11,17,0.1
1179,485,334551,10,16,0.1
1180,465,335016,10,13,0.1
1181,421,335437,8,8,0.1
1182,423,335860,9,12,0.1
1183,401,336261,8,14,0.1
1184,762,337023,17,26,0.1
1185,317,337340,6,6,0.1
1186,380,337720,8,11,0.1
1187,341,338061,6,6,0.1
1188,556,338617,13,19,0.1
1189,435,339052,10,13,0.1
1190,412,339464,9,12,0.1
1191,663,340127,15,18,0.1
1192,466,340593,10,16,0.1
1193,418,341011,8,8,0.1
1194,518,341529,12,12,0.1
1195,689,342218,15,21,0.1
1196,581,342799,13,19,0.1
1197,380,343179,7,10,0.1
1198,370,343549,7,7,0.1
1199,440,343989,9,9,0.1
1200,494,344483,9,9,0.1
1201,407,344890,8,8,0.1
1202,288,345178,5,5,0.1
1203,341,345519,6,6,0.1
1204,394,345913,9,9,0.1
1205,585,346498,13,13,0.1
1206,508,347006,10,13,0.1
1207,306,347312,5,5,0.1
1208,477,347789,11,11,0.1
1209,591,348380,12,15,0.1
1210,352,348732,7,7,0.1
1211,424,349156,9,9,0.1
1212,334,349490,6,6,0.1
1213,503,349993,10,10,0.1
1214,486,350479,10,13,0.1
1215,322,350801,5,5,0.1
1216,513,351314,10,10,0.1
1217,592,351906,12,15,0.1
1218,378,352284,8,8,0.1
1219,627,352911,13,19,0.1
1220,417,353328,7,7,0.1
1221,392,353720,8,14,0.1
1222,418,354138,8,14,0.1
1223,369,354507,7,7,0.1
1224,664,355171,15,18,0.1
1225,682,355853,17,26,0.1
1226,296,356149,4,4,0.1
1227,418,356567,9,15,0.1
1228,380,356947,8,11,0.1
1229,452,357399,9,9,0.1
1230,499,357898,11,11,0.1
1231,463,358361,8,11,0.1
1232,491,358852,10,13,0.1
1233,451,359303,10,16,0.1
1234,429,359732,9,12,0.1
1235,426,360158,8,8,0.1
1236,518,360676,11,17,0.1
1237,483,361159,10,10,0.1
1238,429,361588,9,15,0.1
1239,664,362252,14,20,0.1
1240,574,362826,13,16,0.1
1241,470,363296,10,13,0.1
1242,566,363862,11,11,0.1
1243,455,364317,10,13,0.1
1244,506,364823,10,10,0.1
1245,480,365303,10,16,0.1
1246,533,365836,10,13,0.1
1247,572,366408,12,15,0.1
1248,561,366969,10,13,0.1
1249,366,367335,7,7,0.1
1250,428,367763,9,9,0.1
1251,444,368207,8,8,0.1
1252,317,368524,5,5,0.1
1253,420,368944,8,8,0.1
1254,532,369476,11,17,0.1
1255,451,369927,9,9,0.1
1256,422,370349,8,11,0.1
1257,570,370919,13,16,0.1
1258,416,371335,8,11,0.1
1259,573,371908,12,15,0.1
1260,438,372346,9,15,0.1
1261,408,372754,8,11,0.1
1262,349,373103,7,13,0.1
1263,330,373433,6,9,0.1
1264,397,373830,8,14,0.1
1265,550,374380,13,19,0.1
1266,537,374917,13,19,0.1
1267,375,375292,8,8,0.1
1268,650,375942,13,13,0.1
1269,559,376501,12,12,0.1
1270,406,376907,8,11,0.1
1271,523,377430,12,18,0.1
1272,405,377835,8,8,0.1
1273,429,378264,9,9,0.1
1274,457,378721,10,13,0.1
1275,573,379294,11,14,0.1
1276,431,379725,9,15,0.1
1277,540,380265,11,11,0.1
1278,406,380671,8,11,0.1
1279,452,381123,9,15,0.1
1280,497,381620,10,16,0.1
1281,557,382177,10,16,0.1
1282,467,382644,10,16,0.1
1283,608,383252,15,18,0.1
1284,454,383706,10,13,0.1
1285,377,384083,7,10,0.1
1286,462,384545,9,12,0.1
1287,351,384896,6,12,0.1
1288,326,385222,6,12,0.1
1289,469,385691,6,9,0.1
1290,471,386162,9,9,0.1
1291,516,386678,11,17,0.1
1292,443,387121,9,9,0.1
1293,602,387723,9,15,0.1
1294,525,388248,11,14,0.1
1295,603,388851,10,16,0.1
1296,458,389309,9,12,0.1
1297,553,389862,12,12,0.1
1298,427,390289,10,16,0.1
1299,305,390594,6,6,0.1
1300,325,390919,6,9,0.1
1301,425,391344,8,8,0.1
1302,417,391761,9,18,0.1
1303,595,392356,13,16,0.1
1304,498,392854,11,14,0.1
1305,509,393363,11,14,0.1
1306,242,393605,4,4,0.1
1307,500,394105,11,17,0.1
1308,471,394576,10,13,0.1
1309,442,395018,9,9,0.1
1310,524,395542,12,18,0.1
1311,511,396053,11,11,0.1
1312,479,396532,11,17,0.1
1313,545,397077,11,14,0.1
1314,496,397573,10,13,0.1
1315,694,398267,14,17,0.1
1316,592,398859,13,19,0.1
1317,505,399364,11,14,0.1
1318,538,399902,11,14,0.1
1319,368,400270,7,10,0.1
1320,464,400734,10,13,0.1
1321,454,401188,9,9,0.1
1322,426,401614,9,15,0.1
1323,309,401923,5,5,0.1
1324,579,402502,12,12,0.1
1325,558,403060,12,15,0.1
1326,465,403525,10,10,0.1
1327,507,404032,11,14,0.1
1328,356,404388,8,17,0.1
1329,560,404948,11,17,0.1
1330,470,405418,10,13,0.1
1331,503,405921,12,21,0.1
1332,433,406354,9,9,0.1
1333,407,406761,8,8,0.1
1334,526,407287,12,12,0.1
1335,386,407673,8,17,0.1
1336,457,408130,10,13,0.1
1337,390,408520,7,7,0.1
1338,362,408882,7,10,0.1
1339,456,409338,9,12,0.1
1340,496,409834,11,17,0.1
1341,452,410286,9,12,0.1
1342,390,410676,7,7,0.1
1343,514,411190,12,18,0.1
1344,668,411858,15,18,0.1
1345,388,412246,8,14,0.1
1346,375,412621,8,11,0.1
1347,447,413068,8,14,0.1
1348,468,413536,12,24,0.1
1349,410,413946,8,8,0.1
1350,641,414587,13,19,0.1
1351,457,415044,10,10,0.1
1352,505,415549,11,14,0.1
1353,552,416101,13,16,0.1
1354,631,416732,13,19,0.1
1355,564,417296,14,20,0.1
1356,616,417912,14,17,0.1
1357,501,418413,11,17,0.1
1358,611,419024,16,22,0.1
1359,521,419545,11,17,0.1
1360,500,420045,11,14,0.1
1361,307,420352,5,8,0.1
1362,476,420828,9,9,0.1
1363,433,421261,9,15,0.1
1364,691,421952,14,26,0.1
1365,353,422305,7,13,0.1
1366,455,422760,9,12,0.1
1367,371,423131,8,14,0.1
1368,353,423484,8,17,0.1
1369,601,424085,13,19,0.1
1370,355,424440,7,7,0.1
1371,406,424846,8,11,0.1
1372,483,425329,11,11,0.1
1373,556,425885,11,14,0.1
1374,454,426339,8,8,0.1
1375,359,426698,7,7,0.1
1376,404,427102,8,8,0.1
1377,477,427579,11,17,0.1
1378,353,427932,6,6,0.1
1379,392,428324,8,11,0.1
1380,471,428795,9,9,0.1
1381,592,429387,14,14,0.1
1382,484,429871,10,13,0.1
1383,603,430474,13,13,0.1
1384,407,430881,9,15,0.1
1385,378,431259,6,6,0.1
1386,529,431788,13,19,0.1
1387,428,432216,9,12,0.1
1388,427,432643,9,12,0.1
1389,480,433123,11,11,0.1
1390,594,433717,12,12,0.1
1391,686,434403,17,23,0.1
1392,663,435066,15,18,0.1
1393,618,435684,15,18,0.1
1394,326,436010,5,5,0.1
1395,603,436613,13,19,0.1
1396,445,437058,8,11,0.1
1397,595,437653,12,12,0.1
1398,631,438284,14,20,0.1
1399,369,438653,7,13,0.1
1400,495,439148,11,14,0.1
1401,378,439526,7,7,0.1
1402,499,440025,11,17,0.1
1403,351,440376,6,6,0.1
1404,449,440825,10,22,0.1
1405,409,441234,8,8,0.1
1406,471,441705,10,10,0.1
1407,429,442134,9,15,0.1
1408,516,442650,11,11,0.1
1409,323,442973,5,5,0.1
1410,515,443488,9,15,0.1
1411,362,443850,8,14,0.1
1412,433,444283,8,8,0.1
1413,412,444695,8,11,0.1
1414,387,445082,7,7,0.1
1415,343,445425,6,6,0.1
1416,496,445921,10,13,0.1
1417,455,446376,10,13,0.1
1418,467,446843,10,10,0.1
1419,718,447561,17,26,0.1
1420,449,448010,10,16,0.1
1421,466,448476,10,10,0.1
1422,485,448961,11,11,0.1
1423,528,449489,12,18,0.1
1424,456,449945,9,12,0.1
1425,431,450376,9,15,0.1
1426,533,450909,10,10,0.1
1427,425,451334,8,8,0.1
1428,436,451770,9,9,0.1
1429,436,452206,9,9,0.1
1430,346,452552,7,16,0.1
1431,433,452985,9,9,0.1
1432,680,453665,16,19,0.1
1433,463,454128,10,16,0.1
1434,525,454653,12,18,0.1
1435,609,455262,12,15,0.1
1436,599,455861,14,20,0.1
1437,440,456301,9,9,0.1
1438,519,456820,12,18,0.1
1439,548,457368,12,15,0.1
1440,711,458079,17,23,0.1
1441,307,458386,5,5,0.1
1442,482,458868,10,13,0.1
1443,514,459382,12,15,0.1
1444,505,459887,12,24,0.1
1445,522,460409,12,18,0.1
1446,297,460706,4,7,0.1
1447,461,461167,11,17,0.1
1448,607,461774,14,17,0.1
1449,510,462284,11,14,0.1
1450,496,462780,12,21,0.1
1451,489,463269,11,11,0.1
1452,456,463725,10,13,0.1
1453,644,464369,16,22,0.1
1454,504,464873,12,21,0.1
1455,545,465418,13,16,0.1
1456,504,465922,10,10,0.1
1457,498,466420,10,16,0.1
1458,481,466901,11,11,0.1
1459,402,467303,8,8,0.1
1460,509,467812,10,13,0.1
1461,549,468361,10,13,0.1
1462,449,468810,8,8,0.1
1463,507,469317,12,15,0.1
1464,402,469719,8,14,0.1
1465,592,470311,14,17,0.1
1466,424,470735,9,9,0.1
1467,400,471135,9,9,0.1
1468,548,471683,11,14,0.1
1469,589,472272,13,13,0.1
1470,607,472879,14,14,0.1
1471,587,473466,14,23,0.1
1472,646,474112,14,14,0.1
1473,532,474644,12,15,0.1
1474,494,475138,10,13,0.1
1475,454,475592,10,19,0.1
1476,687,476279,15,18,0.1
1477,346,476625,8,17,0.1
1478,531,477156,11,14,0.1
1479,579,477735,16,25,0.1
1480,414,478149,9,12,0.1
1481,651,478800,14,20,0.1
1482,446,479246,9,15,0.1
1483,558,479804,11,11,0.1
1484,586,480390,13,16,0.1
1485,562,480952,13,19,0.1
1486,538,481490,12,18,0.1
1487,471,481961,11,20,0.1
1488,634,482595,15,18,0.1
1489,651,483246,16,19,0.1
1490,413,483659,9,15,0.1
1491,430,484089,9,15,0.1
1492,525,484614,13,16,0.1
1493,486,485100,11,11,0.1
1494,541,485641,13,25,0.1
1495,422,486063,9,18,0.1
1496,560,486623,13,19,0.1
1497,512,487135,12,24,0.1
1498,644,487779,16,19,0.1
1499,531,488310,13,16,0.1
1500,638,488948,15,24,0.1
1501,507,489455,10,13,0.1
1502,444,489899,9,12,0.1
1503,538,490437,13,25,0.1
1504,524,490961,12,21,0.1
1505,402,491363,8,14,0.1
1506,618,491981,16,22,0.1
1507,353,492334,7,13,0.1
1508,627,492961,16,25,0.1
1509,653,493614,15,15,0.1
1510,631,494245,15,18,0.1
1511,470,494715,10,16,0.1
1512,578,495293,14,26,0.1
1513,666,495959,16,22,0.1
1514,534,496493,12,12,0.1
1515,413,496906,9,12,0.1
1516,506,497412,12,15,0.1
1517,406,497818,8,8,0.1
1518,378,498196,7,7,0.1
1519,398,498594,9,15,0.1
1520,474,499068,10,16,0.1
1521,502,499570,13,22,0.1
1522,627,500197,16,25,0.1
1523,440,500637,10,19,0.1
1524,510,501147,10,16,0.1
1525,567,501714,12,12,0.1
1526,591,502305,15,27,0.1
1527,514,502819,11,23,0.1
1528,589,503408,13,16,0.1
1529,538,503946,12,12,0.1
1530,458,504404,9,15,0.1
1531,550,504954,15,24,0.1
1532,570,505524,12,15,0.1
1533,406,505930,8,11,0.1
1534,751,506681,17,23,0.1
1535,558,507239,12,15,0.1
1536,458,507697,11,14,0.1
1537,519,508216,11,14,0.1
1538,378,508594,8,14,0.1
1539,484,509078,11,17,0.1
1540,426,509504,8,8,0.1
1541,547,510051,14,23,0.1
1542,424,510475,9,15,0.1
1543,436,510911,9,9,0.1
1544,566,511477,10,10,0.1
1545,590,512067,14,23,0.1
1546,646,512713,14,14,0.1
1547,415,513128,9,15,0.1
1548,464,513592,9,9,0.1
1549,581,514173,14,20,0.1
1550,429,514602,9,12,0.1
1551,441,515043,10,13,0.1
1552,574,515617,13,19,0.1
1553,661,516278,15,21,0.1
1554,557,516835,13,19,0.1
1555,580,517415,12,12,0.1
1556,713,518128,20,29,0.1
1557,622,518750,11,17,0.1
1558,656,519406,14,17,0.1
1559,623,520029,13,16,0.1
1560,632,520661,11,17,0.1
1561,546,521207,11,14,0.1
1562,557,521764,12,18,0.1
1563,539,522303,12,18,0.1
1564,489,522792,12,15,0.1
1565,407,523199,7,7,0.1
1566,494,523693,10,13,0.1
1567,676,524369,14,17,0.1
1568,502,524871,11,17,0.1
1569,642,525513,15,18,0.1
1570,436,525949,9,9,0.1
1571,555,526504,13,16,0.1
1572,354,526858,7,7,0.1
1573,628,527486,15,30,0.1
1574,530,528016,13,19,0.1
1575,555,528571,12,15,0.1
1576,587,529158,14,20,0.1
1577,461,529619,10,16,0.1
1578,489,530108,11,14,0.1
1579,592,530700,15,21,0.1
1580,487,531187,10,16,0.1
1581,598,531785,14,17,0.1
1582,490,532275,10,22,0.1
1583,602,532877,15,21,0.1
1584,507,533384,10,13,0.1
1585,353,533737,7,7,0.1
1586,649,534386,15,18,0.1
1587,471,534857,10,16,0.1
1588,413,535270,9,15,0.1
1589,442,535712,11,17,0.1
1590,537,536249,14,29,0.1
1591,600,536849,14,20,0.1
1592,579,537428,12,18,0.1
1593,445,537873,10,16,0.1
1594,617,538490,14,17,0.1
1595,758,539248,18,24,0.1
1596,736,539984,17,23,0.1
1597,581,540565,12,24,0.1
1598,628,541193,14,17,0.1
1599,507,541700,12,15,0.1
1600,650,542350,13,22,0.1
1601,599,542949,14,20,0.1
1602,701,543650,16,19,0.1
1603,561,544211,12,12,0.1
1604,607,544818,15,24,0.1
1605,577,545395,12,12,0.1
1606,550,545945,14,26,0.1
1607,494,546439,12,12,0.1
1608,621,547060,15,21,0.1
1609,498,547558,10,16,0.1
1610,554,548112,13,19,0.1
1611,441,548553,10,16,0.1
1612,574,549127,14,23,0.1
1613,568,549695,12,18,0.1
1614,645,550340,15,27,0.1
1615,485,550825,10,10,0.1
1616,592,551417,14,14,0.1
1617,436,551853,10,10,0.1
1618,572,552425,13,19,0.1
1619,579,553004,14,14,0.1
1620,515,553519,11,23,0.1
1621,465,553984,10,19,0.1
1622,385,554369,8,14,0.1
1623,749,555118,17,20,0.1
1624,523,555641,13,16,0.1
1625,407,556048,8,11,0.1
1626,367,556415,8,8,0.1
1627,410,556825,8,8,0.1
1628,465,557290,11,14,0.1
1629,708,557998,16,19,0.1
1630,547,558545,13,16,0.1
1631,568,559113,12,18,0.1
1632,301,559414,6,6,0.1
1633,824,560238,21,24,0.1
1634,590,560828,15,27,0.1
1635,514,561342,11,17,0.1
1636,615,561957,14,14,0.1
1637,711,562668,17,17,0.1
1638,587,563255,13,16,0.1
1639,446,563701,10,10,0.1
1640,616,564317,13,16,0.1
1641,426,564743,9,9,0.1
1642,583,565326,13,16,0.1
1643,572,565898,15,24,0.1
1644,478,566376,10,13,0.1
1645,504,566880,12,12,0.1
1646,480,567360,11,14,0.1
1647,501,567861,11,11,0.1
1648,754,568615,20,29,0.1
1649,664,569279,15,15,0.1
1650,567,569846,13,19,0.1
1651,557,570403,14,14,0.1
1652,636,571039,15,18,0.1
1653,462,571501,10,16,0.1
1654,475,571976,11,11,0.1
1655,594,572570,14,17,0.1
1656,406,572976,8,8,0.1
1657,575,573551,13,13,0.1
1658,546,574097,14,20,0.1
1659,704,574801,17,17,0.1
1660,720,575521,18,21,0.1
1661,671,576192,18,24,0.1
1662,600,576792,15,18,0.1
1663,490,577282,12,21,0.1
1664,591,577873,16,25,0.1
1665,569,578442,12,12,0.1
1666,749,579191,16,16,0.1
1667,575,579766,17,38,0.1
1668,639,580405,15,18,0.1
1669,546,580951,15,24,0.1
1670,530,581481,13,13,0.1
1671,605,582086,14,14,0.1
1672,655,582741,15,15,0.1
1673,409,583150,8,11,0.1
1674,529,583679,11,17,0.1
1675,482,584161,11,14,0.1
1676,644,584805,14,17,0.1
1677,725,585530,17,23,0.1
1678,510,586040,13,25,0.1
1679,521,586561,13,22,0.1
1680,466,587027,12,18,0.1
1681,490,587517,11,11,0.1
1682,649,588166,15,15,0.1
1683,660,588826,16,22,0.1
1684,581,589407,14,20,0.1
1685,613,590020,15,15,0.1
1686,450,590470,9,9,0.1
1687,669,591139,15,24,0.1
1688,711,591850,17,17,0.1
1689,508,592358,12,21,0.1
1690,677,593035,17,17,0.1
1691,569,593604,13,25,0.1
1692,510,594114,12,18,0.1
1693,610,594724,14,20,0.1
1694,501,595225,11,11,0.1
1695,503,595728,11,17,0.1
1696,590,596318,14,23,0.1
1697,526,596844,14,23,0.1
1698,385,597229,9,18,0.1
1699,469,597698,11,17,0.1
1700,470,598168,10,13,0.1
1701,676,598844,17,29,0.1
1702,605,599449,13,22,0.1
1703,400,599849,10,19,0.1
1704,408,600257,9,9,0.1
1705,420,600677,8,11,0.1
1706,390,601067,7,7,0.1
1707,373,601440,7,7,0.1
1708,503,601943,10,10,0.1
1709,576,602519,13,19,0.1
1710,502,603021,10,10,0.1
1711,520,603541,11,20,0.1
1712,663,604204,14,23,0.1
1713,449,604653,10,10,0.1
1714,617,605270,15,21,0.1
1715,366,605636,7,7,0.1
1716,532,606168,12,24,0.1
1717,771,606939,19,31,0.1
1718,556,607495,13,19,0.1
1719,783,608278,19,22,0.1
1720,525,608803,11,11,0.1
1721,703,609506,17,20,0.1
1722,654,610160,18,30,0.1
1723,633,610793,15,21,0.1
1724,415,611208,8,8,0.1
1725,576,611784,13,16,0.1
1726,593,612377,13,19,0.1
1727,476,612853,11,11,0.1
1728,359,613212,7,10,0.1
1729,573,613785,12,18,0.1
1730,482,614267,11,17,0.1
1731,722,614989,17,20,0.1
1732,666,615655,16,22,0.1
1733,342,615997,7,7,0.1
1734,577,616574,14,17,0.1
1735,325,616899,6,6,0.1
1736,573,617472,13,13,0.1
1737,594,618066,14,14,0.1
1738,469,618535,11,11,0.1
1739,718,619253,17,20,0.1
1740,571,619824,12,18,0.1
1741,832,620656,19,25,0.1
1742,644,621300,15,18,0.1
1743,679,621979,15,24,0.1
1744,764,622743,19,28,0.1
1745,660,623403,15,24,0.1
1746,848,624251,20,26,0.1
1747,592,624843,12,21,0.1
1748,787,625630,21,24,0.1
1749,553,626183,14,17,0.1
1750,597,626780,14,14,0.1
1751,771,627551,19,37,0.1
1752,771,628322,19,25,0.1
1753,542,628864,12,21,0.1
1754,607,629471,16,19,0.1
1755,774,630245,18,24,0.1
1756,706,630951,16,19,0.1
