Breakout,,,,,
Episode Number,Episode Steps,Cumulative Steps,Reward,Score,Epsilon
197,139,34587,0,0,0.65413
198,236,34823,3,3,0.65177
199,180,35003,1,1,0.64997
200,196,35199,2,2,0.64801
201,218,35417,2,2,0.64583
202,243,35660,3,3,0.6434
203,249,35909,3,3,0.64091
204,184,36093,2,2,0.63907
205,131,36224,0,0,0.63776
206,190,36414,2,2,0.63586
207,232,36646,3,3,0.63354
208,209,36855,2,2,0.63145
209,166,37021,1,1,0.62979
210,127,37148,0,0,0.62852
211,179,37327,1,1,0.62673
212,328,37655,4,4,0.62345
213,227,37882,2,2,0.62118
214,134,38016,0,0,0.61984
215,140,38156,0,0,0.61844
216,160,38316,1,1,0.61684
217,271,38587,4,4,0.61413
218,159,38746,1,1,0.61254
219,213,38959,2,2,0.61041
220,227,39186,2,2,0.60814
221,353,39539,6,6,0.60461
222,156,39695,1,1,0.60305
223,172,39867,1,1,0.60133
224,130,39997,0,0,0.60003
225,154,40151,1,1,0.59849
226,255,40406,3,3,0.59594
227,202,40608,2,2,0.59392
228,213,40821,2,2,0.59179
229,257,41078,3,3,0.58922
230,185,41263,1,1,0.58737
231,174,41437,1,1,0.58563
232,224,41661,3,3,0.58339
233,248,41909,3,3,0.58091
234,243,42152,3,3,0.57848
235,147,42299,0,0,0.57701
236,189,42488,2,2,0.57512
237,126,42614,0,0,0.57386
238,147,42761,0,0,0.57239
239,206,42967,2,2,0.57033
240,204,43171,2,2,0.56829
241,188,43359,2,2,0.56641
242,280,43639,4,4,0.56361
243,209,43848,2,2,0.56152
244,194,44042,2,2,0.55958
245,131,44173,0,0,0.55827
246,189,44362,2,2,0.55638
247,206,44568,2,2,0.55432
248,222,44790,2,2,0.5521
249,200,44990,2,2,0.5501
250,185,45175,1,1,0.54825
251,212,45387,2,2,0.54613
252,204,45591,2,2,0.54409
253,146,45737,0,0,0.54263
254,291,46028,4,4,0.53972
255,273,46301,3,3,0.53699
256,222,46523,3,3,0.53477
257,196,46719,2,2,0.53281
258,195,46914,2,2,0.53086
259,205,47119,2,2,0.52881
260,255,47374,3,3,0.52626
261,191,47565,1,1,0.52435
262,193,47758,2,2,0.52242
263,276,48034,4,4,0.51966
264,237,48271,3,3,0.51729
265,156,48427,1,1,0.51573
266,128,48555,0,0,0.51445
267,146,48701,0,0,0.51299
268,129,48830,0,0,0.5117
269,273,49103,4,4,0.50897
270,135,49238,0,0,0.50762
271,200,49438,2,2,0.50562
272,163,49601,1,1,0.50399
273,302,49903,5,5,0.50097
274,267,50170,3,3,0.4983
275,195,50365,2,2,0.49635
276,182,50547,2,2,0.49453
277,177,50724,1,1,0.49276
278,174,50898,1,1,0.49102
279,158,51056,1,1,0.48944
280,183,51239,2,2,0.48761
281,281,51520,4,4,0.4848
282,277,51797,4,4,0.48203
283,232,52029,3,3,0.47971
284,188,52217,2,2,0.47783
285,235,52452,3,3,0.47548
286,158,52610,1,1,0.4739
287,199,52809,2,2,0.47191
288,160,52969,1,1,0.47031
289,175,53144,1,1,0.46856
290,241,53385,3,3,0.46615
291,258,53643,4,7,0.46357
292,241,53884,3,3,0.46116
293,256,54140,3,3,0.4586
294,171,54311,1,1,0.45689
295,362,54673,6,6,0.45327
296,207,54880,2,2,0.4512
297,226,55106,3,3,0.44894
298,378,55484,6,6,0.44516
299,165,55649,1,1,0.44351
300,259,55908,4,7,0.44092
301,188,56096,2,2,0.43904
302,229,56325,2,2,0.43675
303,303,56628,5,11,0.43372
304,256,56884,3,3,0.43116
305,202,57086,2,2,0.42914
306,235,57321,3,3,0.42679
307,354,57675,5,5,0.42325
308,222,57897,3,3,0.42103
309,283,58180,4,4,0.4182
310,268,58448,4,4,0.41552
311,267,58715,4,4,0.41285
312,266,58981,4,4,0.41019
313,231,59212,3,3,0.40788
314,310,59522,5,5,0.40478
315,221,59743,3,3,0.40257
316,233,59976,3,3,0.40024
317,168,60144,1,1,0.39856
318,238,60382,3,3,0.39618
319,238,60620,3,3,0.3938
320,259,60879,4,4,0.39121
321,151,61030,1,1,0.3897
322,242,61272,3,3,0.38728
323,311,61583,5,5,0.38417
324,188,61771,2,2,0.38229
325,236,62007,3,3,0.37993
326,227,62234,3,3,0.37766
327,233,62467,3,3,0.37533
328,263,62730,4,4,0.3727
329,220,62950,3,3,0.3705
330,222,63172,3,3,0.36828
331,325,63497,5,5,0.36503
332,357,63854,6,6,0.36146
333,185,64039,2,2,0.35961
334,310,64349,5,5,0.35651
335,316,64665,5,5,0.35335
336,329,64994,5,5,0.35006
337,241,65235,3,3,0.34765
338,198,65433,2,2,0.34567
339,231,65664,3,3,0.34336
340,283,65947,5,11,0.34053
341,243,66190,3,3,0.3381
342,298,66488,5,11,0.33512
343,277,66765,5,11,0.33235
344,330,67095,5,5,0.32905
345,150,67245,1,1,0.32755
346,201,67446,2,2,0.32554
347,217,67663,3,3,0.32337
348,291,67954,4,4,0.32046
349,247,68201,4,7,0.31799
350,210,68411,2,2,0.31589
351,202,68613,2,2,0.31387
352,220,68833,3,3,0.31167
353,247,69080,4,4,0.3092
354,328,69408,5,5,0.30592
355,270,69678,5,11,0.30322
356,185,69863,2,2,0.30137
357,217,70080,3,3,0.2992
358,229,70309,3,3,0.29691
359,223,70532,3,3,0.29468
360,227,70759,3,3,0.29241
361,216,70975,3,3,0.29025
362,217,71192,3,3,0.28808
363,372,71564,7,10,0.28436
364,231,71795,3,3,0.28205
365,215,72010,3,3,0.2799
366,132,72142,0,0,0.27858
367,275,72417,4,4,0.27583
368,251,72668,4,4,0.27332
369,210,72878,3,3,0.27122
370,297,73175,5,5,0.26825
371,403,73578,7,10,0.26422
372,303,73881,5,8,0.26119
373,240,74121,4,4,0.25879
374,155,74276,1,1,0.25724
375,181,74457,2,2,0.25543
376,260,74717,4,4,0.25283
377,390,75107,7,7,0.24893
378,234,75341,3,3,0.24659
379,265,75606,4,4,0.24394
380,226,75832,3,3,0.24168
381,184,76016,2,2,0.23984
382,380,76396,7,7,0.23604
383,185,76581,2,2,0.23419
384,256,76837,3,3,0.23163
385,215,77052,3,3,0.22948
386,154,77206,1,1,0.22794
387,183,77389,2,2,0.22611
388,283,77672,4,4,0.22328
389,199,77871,2,2,0.22129
390,242,78113,3,3,0.21887
391,306,78419,4,4,0.21581
392,184,78603,2,2,0.21397
393,315,78918,5,8,0.21082
394,264,79182,4,4,0.20818
395,247,79429,4,7,0.20571
396,314,79743,5,5,0.20257
397,387,80130,7,7,0.1987
398,226,80356,3,3,0.19644
399,225,80581,3,3,0.19419
400,247,80828,4,7,0.19172
401,247,81075,3,3,0.18925
402,244,81319,3,3,0.18681
403,291,81610,5,8,0.1839
404,266,81876,4,4,0.18124
405,311,82187,4,4,0.17813
406,285,82472,5,8,0.17528
407,316,82788,5,5,0.17212
408,314,83102,5,5,0.16898
409,309,83411,5,5,0.16589
410,157,83568,1,1,0.16432
411,264,83832,4,4,0.16168
412,249,84081,4,7,0.15919
413,248,84329,4,7,0.15671
414,346,84675,6,6,0.15325
415,282,84957,4,4,0.15043
416,318,85275,5,8,0.14725
417,306,85581,5,5,0.14419
418,262,85843,4,4,0.14157
419,263,86106,4,4,0.13894
420,268,86374,5,11,0.13626
421,452,86826,7,13,0.13174
422,279,87105,5,11,0.12895
423,273,87378,5,11,0.12622
424,236,87614,3,3,0.12386
425,345,87959,6,6,0.12041
426,201,88160,2,2,0.1184
427,409,88569,7,7,0.11431
428,266,88835,3,3,0.11165
429,292,89127,5,5,0.10873
430,294,89421,4,4,0.10579
431,511,89932,6,12,0.10068
432,290,90222,3,3,0.1
433,291,90513,5,11,0.1
434,214,90727,3,3,0.1
435,135,90862,0,0,0.1
436,247,91109,3,3,0.1
437,203,91312,2,2,0.1
438,177,91489,1,1,0.1
439,268,91757,5,11,0.1
440,385,92142,7,10,0.1
441,354,92496,5,11,0.1
442,407,92903,6,12,0.1
443,346,93249,4,7,0.1
444,278,93527,3,3,0.1
445,296,93823,5,8,0.1
446,289,94112,4,7,0.1
447,347,94459,4,4,0.1
448,511,94970,7,10,0.1
449,311,95281,4,4,0.1
450,521,95802,4,4,0.1
451,229,96031,3,3,0.1
452,170,96201,1,1,0.1
453,198,96399,2,2,0.1
454,207,96606,2,2,0.1
455,213,96819,3,3,0.1
456,323,97142,5,5,0.1
457,182,97324,2,2,0.1
458,318,97642,4,4,0.1
459,245,97887,4,4,0.1
460,350,98237,6,9,0.1
461,185,98422,2,2,0.1
462,202,98624,2,2,0.1
463,249,98873,4,4,0.1
464,272,99145,4,4,0.1
465,214,99359,3,3,0.1
466,232,99591,3,3,0.1
467,298,99889,5,8,0.1
468,206,100095,2,2,0.1
469,182,100277,2,2,0.1
470,259,100536,4,4,0.1
471,211,100747,3,3,0.1
472,205,100952,2,2,0.1
473,201,101153,2,2,0.1
474,266,101419,4,4,0.1
475,241,101660,4,4,0.1
476,329,101989,6,9,0.1
477,247,102236,4,4,0.1
478,241,102477,4,4,0.1
479,181,102658,2,2,0.1
480,234,102892,3,3,0.1
481,266,103158,4,4,0.1
482,184,103342,2,2,0.1
483,274,103616,5,8,0.1
484,361,103977,7,10,0.1
485,252,104229,3,3,0.1
486,207,104436,2,2,0.1
487,230,104666,2,2,0.1
488,382,105048,6,12,0.1
489,397,105445,7,10,0.1
490,266,105711,4,4,0.1
491,353,106064,6,12,0.1
492,274,106338,5,8,0.1
493,424,106762,4,7,0.1
494,460,107222,7,7,0.1
495,528,107750,6,12,0.1
496,343,108093,5,11,0.1
497,412,108505,6,6,0.1
498,252,108757,4,7,0.1
499,273,109030,4,7,0.1
500,267,109297,4,7,0.1
501,329,109626,6,6,0.1
502,291,109917,4,4,0.1
503,211,110128,2,2,0.1
504,252,110380,3,3,0.1
