Pong,,,,
Episode Number,Episode Steps,Reward,Score,Epsilon
208,1196,-18,-18,0.615172
209,981,-20,-20,0.61321
210,843,-20,-20,0.611524
211,931,-21,-21,0.609662
212,962,-21,-21,0.607738
213,1025,-20,-20,0.605688
214,964,-21,-21,0.60376
215,899,-21,-21,0.601962
216,843,-20,-20,0.600276
217,852,-21,-21,0.598572
218,912,-21,-21,0.596748
219,783,-21,-21,0.595182
220,1113,-20,-20,0.592956
221,826,-21,-21,0.591304
222,909,-21,-21,0.589486
223,843,-20,-20,0.5878
224,870,-20,-20,0.58606
225,1076,-18,-18,0.583908
226,1100,-20,-20,0.581708
227,948,-19,-19,0.579812
228,1011,-21,-21,0.57779
229,995,-19,-19,0.5758
230,933,-21,-21,0.573934
231,792,-21,-21,0.57235
232,914,-21,-21,0.570522
233,902,-20,-20,0.568718
234,1043,-19,-19,0.566632
235,783,-21,-21,0.565066
236,822,-21,-21,0.563422
237,872,-21,-21,0.561678
238,1107,-19,-19,0.559464
239,890,-21,-21,0.557684
240,898,-21,-21,0.555888
241,764,-21,-21,0.55436
242,981,-21,-21,0.552398
243,987,-21,-21,0.550424
244,905,-21,-21,0.548614
245,938,-20,-20,0.546738
246,1101,-20,-20,0.544536
247,914,-21,-21,0.542708
248,884,-21,-21,0.54094
249,824,-21,-21,0.539292
250,984,-19,-19,0.537324
251,852,-21,-21,0.53562
252,1007,-20,-20,0.533606
253,1073,-21,-21,0.53146
254,999,-20,-20,0.529462
255,944,-21,-21,0.527574
256,903,-21,-21,0.525768
257,842,-20,-20,0.524084
258,975,-20,-20,0.522134
259,854,-21,-21,0.520426
260,1043,-20,-20,0.51834
261,838,-20,-20,0.516664
262,949,-19,-19,0.514766
263,884,-21,-21,0.512998
264,1116,-19,-19,0.510766
265,842,-20,-20,0.509082
266,1067,-20,-20,0.506948
267,970,-21,-21,0.505008
268,987,-20,-20,0.503034
269,884,-21,-21,0.501266
270,887,-20,-20,0.499492
271,852,-21,-21,0.497788
272,1241,-19,-19,0.495306
273,820,-21,-21,0.493666
274,811,-21,-21,0.492044
275,882,-21,-21,0.49028
276,820,-21,-21,0.48864
277,792,-21,-21,0.487056
278,842,-20,-20,0.485372
279,764,-21,-21,0.483844
280,970,-21,-21,0.481904
281,947,-20,-20,0.48001
282,970,-21,-21,0.47807
283,1089,-20,-20,0.475892
284,945,-21,-21,0.474002
285,792,-21,-21,0.472418
286,904,-21,-21,0.47061
287,973,-21,-21,0.468664
288,965,-20,-20,0.466734
289,764,-21,-21,0.465206
290,811,-21,-21,0.463584
291,1118,-19,-19,0.461348
292,824,-21,-21,0.4597
293,884,-21,-21,0.457932
294,843,-21,-21,0.456246
295,783,-21,-21,0.45468
296,913,-21,-21,0.452854
297,948,-21,-21,0.450958
298,792,-21,-21,0.449374
299,1019,-20,-20,0.447336
300,1084,-19,-19,0.445168
301,919,-20,-20,0.44333
302,811,-21,-21,0.441708
303,912,-21,-21,0.439884
304,1198,-18,-18,0.437488
305,1007,-20,-20,0.435474
306,939,-20,-20,0.433596
307,1042,-19,-19,0.431512
308,764,-21,-21,0.429984
309,1023,-21,-21,0.427938
310,764,-21,-21,0.42641
311,907,-20,-20,0.424596
312,983,-21,-21,0.42263
313,793,-21,-21,0.421044
314,1080,-20,-20,0.418884
315,842,-20,-20,0.4172
316,964,-21,-21,0.415272
317,948,-20,-20,0.413376
318,852,-21,-21,0.411672
319,899,-21,-21,0.409874
320,916,-20,-20,0.408042
321,950,-20,-20,0.406142
322,840,-21,-21,0.404462
323,811,-21,-21,0.40284
324,928,-21,-21,0.400984
325,1021,-20,-20,0.398942
326,824,-21,-21,0.397294
327,783,-21,-21,0.395728
328,1138,-18,-18,0.393452
329,1071,-19,-19,0.39131
330,848,-21,-21,0.389614
331,1021,-21,-21,0.387572
332,903,-20,-20,0.385766
333,1060,-20,-20,0.383646
334,985,-21,-21,0.381676
335,812,-21,-21,0.380052
336,902,-20,-20,0.378248
337,888,-20,-20,0.376472
338,902,-20,-20,0.374668
339,921,-20,-20,0.372826
340,1027,-19,-19,0.370772
341,854,-21,-21,0.369064
342,1030,-20,-20,0.367004
343,949,-19,-19,0.365106
344,871,-20,-20,0.363364
345,1073,-20,-20,0.361218
346,986,-20,-20,0.359246
347,993,-21,-21,0.35726
348,907,-21,-21,0.355446
349,854,-21,-21,0.353738
350,824,-21,-21,0.35209
351,1023,-20,-20,0.350044
352,946,-21,-21,0.348152
353,1012,-19,-19,0.346128
354,1215,-19,-19,0.343698
355,764,-21,-21,0.34217
356,826,-21,-21,0.340518
357,912,-21,-21,0.338694
358,919,-20,-20,0.336856
359,764,-21,-21,0.335328
360,968,-19,-19,0.333392
361,980,-19,-19,0.331432
362,917,-20,-20,0.329598
363,825,-21,-21,0.327948
364,933,-20,-20,0.326082
365,880,-20,-20,0.324322
366,849,-21,-21,0.322624
367,838,-20,-20,0.320948
368,792,-21,-21,0.319364
369,861,-20,-20,0.317642
370,811,-21,-21,0.31602
371,1009,-20,-20,0.314002
372,954,-20,-20,0.312094
373,859,-21,-21,0.310376
374,866,-20,-20,0.308644
375,933,-20,-20,0.306778
376,886,-21,-21,0.305006
377,792,-21,-21,0.303422
378,849,-21,-21,0.301724
379,881,-21,-21,0.299962
380,852,-21,-21,0.298258
381,965,-19,-19,0.296328
382,902,-20,-20,0.294524
383,792,-21,-21,0.29294
384,888,-20,-20,0.291164
385,914,-21,-21,0.289336
386,884,-21,-21,0.287568
387,905,-21,-21,0.285758
388,869,-21,-21,0.28402
389,1185,-18,-18,0.28165
390,792,-21,-21,0.280066
391,843,-20,-20,0.27838
392,991,-20,-20,0.276398
393,764,-21,-21,0.27487
394,764,-21,-21,0.273342
395,792,-21,-21,0.271758
396,933,-21,-21,0.269892
397,812,-21,-21,0.268268
398,973,-21,-21,0.266322
399,1061,-19,-19,0.2642
400,824,-21,-21,0.262552
401,854,-21,-21,0.260844
402,852,-21,-21,0.25914
403,812,-21,-21,0.257516
404,977,-20,-20,0.255562
405,1055,-19,-19,0.253452
406,898,-20,-20,0.251656
407,884,-21,-21,0.249888
408,1065,-21,-21,0.247758
409,882,-21,-21,0.245994
410,940,-21,-21,0.244114
411,783,-21,-21,0.242548
412,1072,-20,-20,0.240404
413,998,-19,-19,0.238408
414,944,-19,-19,0.23652
415,889,-20,-20,0.234742
416,871,-20,-20,0.233
417,940,-19,-19,0.23112
418,991,-21,-21,0.229138
419,977,-19,-19,0.227184
420,1068,-20,-20,0.225048
421,974,-20,-20,0.2231
422,764,-21,-21,0.221572
423,764,-21,-21,0.220044
424,1057,-19,-19,0.21793
425,927,-20,-20,0.216076
426,764,-21,-21,0.214548
427,1062,-18,-18,0.212424
428,792,-21,-21,0.21084
429,996,-19,-19,0.208848
430,783,-21,-21,0.207282
431,889,-21,-21,0.205504
432,1120,-18,-18,0.203264
433,872,-21,-21,0.20152
434,856,-20,-20,0.199808
435,848,-21,-21,0.198112
436,948,-21,-21,0.196216
437,1019,-20,-20,0.194178
438,764,-21,-21,0.19265
439,838,-20,-20,0.190974
440,764,-21,-21,0.189446
441,903,-21,-21,0.18764
442,852,-21,-21,0.185936
443,824,-21,-21,0.184288
444,909,-21,-21,0.18247
445,842,-20,-20,0.180786
446,1180,-19,-19,0.178426
447,826,-21,-21,0.176774
448,965,-20,-20,0.174844
449,842,-20,-20,0.17316
450,1043,-20,-20,0.171074
451,824,-21,-21,0.169426
452,783,-21,-21,0.16786
453,940,-21,-21,0.16598
454,873,-21,-21,0.164234
455,934,-20,-20,0.162366
456,949,-20,-20,0.160468
457,852,-21,-21,0.158764
458,792,-21,-21,0.15718
459,1062,-21,-21,0.155056
460,916,-21,-21,0.153224
461,852,-21,-21,0.15152
462,1193,-18,-18,0.149134
463,956,-20,-20,0.147222
464,798,-21,-21,0.145626
465,960,-21,-21,0.143706
466,882,-21,-21,0.141942
467,793,-21,-21,0.140356
468,862,-21,-21,0.138632
469,879,-20,-20,0.136874
470,904,-21,-21,0.135066
471,1036,-20,-20,0.132994
472,870,-20,-20,0.131254
473,912,-20,-20,0.12943
474,824,-21,-21,0.127782
475,881,-21,-21,0.12602
476,866,-20,-20,0.124288
477,826,-21,-21,0.122636
478,843,-21,-21,0.12095
479,857,-20,-20,0.119236
480,1082,-20,-20,0.117072
481,979,-19,-19,0.115114
482,904,-20,-20,0.113306
483,1071,-20,-20,0.111164
484,916,-21,-21,0.109332
485,1116,-19,-19,0.1071
486,840,-21,-21,0.10542
487,904,-20,-20,0.103612
488,866,-20,-20,0.10188
489,838,-20,-20,0.100204
490,838,-20,-20,0.098528
491,966,-21,-21,0.096596
492,1064,-21,-21,0.094468
493,1002,-21,-21,0.092464
494,838,-20,-20,0.090788
495,1023,-21,-21,0.088742
496,1041,-19,-19,0.08666
497,917,-20,-20,0.084826
498,838,-20,-20,0.08315
499,1355,-19,-19,0.08044
500,1023,-21,-21,0.078394
501,866,-20,-20,0.076662
502,871,-20,-20,0.07492
503,940,-21,-21,0.07304
504,838,-20,-20,0.071364
505,948,-21,-21,0.069468
506,1060,-19,-19,0.067348
507,988,-20,-20,0.065372
508,838,-20,-20,0.063696
509,913,-20,-20,0.06187
510,963,-20,-20,0.059944
511,1009,-19,-19,0.057926
512,1039,-20,-20,0.055848
513,981,-19,-19,0.053886
514,899,-20,-20,0.052088
515,1068,-19,-19,0.05
516,1084,-19,-19,0.05
517,988,-20,-20,0.05
518,994,-19,-19,0.05
519,826,-21,-21,0.05
520,968,-21,-21,0.05
521,926,-20,-20,0.05
522,842,-20,-20,0.05
523,937,-19,-19,0.05
524,962,-19,-19,0.05
525,1037,-20,-20,0.05
526,1056,-21,-21,0.05
527,1134,-19,-19,0.05
528,1003,-21,-21,0.05
529,1009,-19,-19,0.05
530,1109,-19,-19,0.05
531,960,-21,-21,0.05
532,1052,-20,-20,0.05
533,916,-21,-21,0.05
534,792,-21,-21,0.05
535,1201,-18,-18,0.05
536,942,-21,-21,0.05
537,1049,-21,-21,0.05
538,1141,-17,-17,0.05
539,1179,-19,-19,0.05
540,1070,-19,-19,0.05
541,926,-20,-20,0.05
542,1010,-19,-19,0.05
543,899,-20,-20,0.05
544,1015,-20,-20,0.05
545,956,-20,-20,0.05
546,926,-20,-20,0.05
547,977,-19,-19,0.05
548,948,-21,-21,0.05
549,977,-20,-20,0.05
550,999,-19,-19,0.05
551,1051,-20,-20,0.05
552,889,-20,-20,0.05
553,1144,-21,-21,0.05
554,1162,-21,-21,0.05
555,936,-19,-19,0.05
556,949,-19,-19,0.05
557,1113,-19,-19,0.05
558,903,-20,-20,0.05
559,871,-20,-20,0.05
560,1036,-19,-19,0.05
561,1128,-20,-20,0.05
562,1127,-20,-20,0.05
563,917,-20,-20,0.05
564,932,-21,-21,0.05
565,764,-21,-21,0.05
566,965,-19,-19,0.05
567,898,-20,-20,0.05
568,1087,-19,-19,0.05
569,1078,-19,-19,0.05
570,854,-21,-21,0.05
571,903,-20,-20,0.05
572,898,-20,-20,0.05
573,1055,-20,-20,0.05
574,870,-20,-20,0.05
575,1017,-20,-20,0.05
576,842,-20,-20,0.05
577,963,-20,-20,0.05
578,931,-20,-20,0.05
579,1022,-20,-20,0.05
580,1042,-20,-20,0.05
581,966,-19,-19,0.05
582,1027,-19,-19,0.05
583,853,-21,-21,0.05
584,1040,-21,-21,0.05
585,1069,-20,-20,0.05
586,931,-20,-20,0.05
587,1109,-20,-20,0.05
588,1130,-21,-21,0.05
589,842,-20,-20,0.05
590,1010,-19,-19,0.05
591,955,-20,-20,0.05
592,1086,-19,-19,0.05
593,991,-19,-19,0.05
594,1209,-17,-17,0.05
595,931,-20,-20,0.05
596,1106,-18,-18,0.05
597,1144,-18,-18,0.05
598,1242,-19,-19,0.05
599,1032,-20,-20,0.05
600,913,-20,-20,0.05
601,1085,-19,-19,0.05
602,1048,-21,-21,0.05
603,870,-20,-20,0.05
604,1003,-20,-20,0.05
605,870,-20,-20,0.05
606,1163,-21,-21,0.05
607,903,-20,-20,0.05
608,960,-20,-20,0.05
609,931,-20,-20,0.05
610,999,-19,-19,0.05
611,870,-20,-20,0.05
612,1150,-17,-17,0.05
613,1004,-19,-19,0.05
614,1134,-19,-19,0.05
615,842,-20,-20,0.05
616,1168,-18,-18,0.05
617,960,-20,-20,0.05
618,1054,-20,-20,0.05
619,982,-19,-19,0.05
620,1112,-20,-20,0.05
621,1245,-20,-20,0.05
622,1171,-20,-20,0.05
623,838,-20,-20,0.05
624,1038,-19,-19,0.05
625,870,-20,-20,0.05
626,1040,-19,-19,0.05
627,909,-20,-20,0.05
628,866,-20,-20,0.05
629,1061,-19,-19,0.05
630,1305,-18,-18,0.05
631,1211,-18,-18,0.05
632,913,-21,-21,0.05
633,1145,-20,-20,0.05
634,1114,-18,-18,0.05
635,921,-20,-20,0.05
636,1189,-20,-20,0.05
637,959,-20,-20,0.05
638,842,-20,-20,0.05
639,1048,-20,-20,0.05
640,1015,-19,-19,0.05
641,1386,-16,-16,0.05
642,1022,-19,-19,0.05
643,1240,-17,-17,0.05
644,1141,-20,-20,0.05
645,1021,-20,-20,0.05
646,1030,-19,-19,0.05
647,1083,-20,-20,0.05
648,1109,-20,-20,0.05
649,1086,-19,-19,0.05
650,994,-19,-19,0.05
651,887,-20,-20,0.05
652,1059,-19,-19,0.05
653,889,-20,-20,0.05
654,1112,-18,-18,0.05
655,900,-20,-20,0.05
656,842,-20,-20,0.05
657,962,-20,-20,0.05
658,953,-20,-20,0.05
659,1086,-19,-19,0.05
660,1089,-18,-18,0.05
661,903,-20,-20,0.05
662,993,-19,-19,0.05
663,1043,-20,-20,0.05
664,1325,-19,-19,0.05
665,950,-21,-21,0.05
666,986,-19,-19,0.05
667,950,-20,-20,0.05
668,997,-19,-19,0.05
669,1253,-18,-18,0.05
670,1169,-19,-19,0.05
671,1144,-20,-20,0.05
672,1143,-20,-20,0.05
673,838,-20,-20,0.05
674,1262,-18,-18,0.05
675,1151,-19,-19,0.05
676,974,-20,-20,0.05
677,1281,-17,-17,0.05
678,871,-20,-20,0.05
679,898,-20,-20,0.05
680,1201,-18,-18,0.05
681,1481,-18,-18,0.05
682,1190,-18,-18,0.05
683,1106,-18,-18,0.05
684,1003,-19,-19,0.05
685,964,-20,-20,0.05
686,1010,-19,-19,0.05
687,1115,-18,-18,0.05
688,1041,-20,-20,0.05
689,934,-21,-21,0.05
690,1246,-19,-19,0.05
691,1112,-18,-18,0.05
692,1121,-19,-19,0.05
693,978,-19,-19,0.05
694,996,-21,-21,0.05
695,1239,-18,-18,0.05
696,1128,-20,-20,0.05
697,1089,-20,-20,0.05
698,1152,-18,-18,0.05
699,1052,-19,-19,0.05
700,1244,-19,-19,0.05
701,902,-20,-20,0.05
702,949,-20,-20,0.05
703,902,-20,-20,0.05
704,1328,-18,-18,0.05
705,1162,-19,-19,0.05
706,1409,-18,-18,0.05
707,1264,-20,-20,0.05
708,991,-20,-20,0.05
709,1234,-18,-18,0.05
710,1050,-20,-20,0.05
711,1168,-20,-20,0.05
712,928,-20,-20,0.05
713,1103,-19,-19,0.05
714,1151,-18,-18,0.05
715,1301,-18,-18,0.05
716,987,-20,-20,0.05
717,903,-20,-20,0.05
718,1067,-20,-20,0.05
719,997,-21,-21,0.05
720,1093,-19,-19,0.05
721,1321,-18,-18,0.05
722,987,-20,-20,0.05
723,1076,-19,-19,0.05
724,1030,-20,-20,0.05
725,1083,-21,-21,0.05
726,1004,-19,-19,0.05
727,1005,-20,-20,0.05
728,1036,-19,-19,0.05
729,1300,-19,-19,0.05
730,1015,-20,-20,0.05
731,1176,-18,-18,0.05
732,1060,-19,-19,0.05
733,903,-20,-20,0.05
734,1117,-18,-18,0.05
735,1336,-19,-19,0.05
736,932,-20,-20,0.05
737,1195,-20,-20,0.05
738,1136,-20,-20,0.05
739,1138,-18,-18,0.05
740,1366,-21,-21,0.05
741,1005,-19,-19,0.05
742,1446,-16,-16,0.05
743,1106,-18,-18,0.05
744,1224,-19,-19,0.05
745,1063,-20,-20,0.05
746,1303,-18,-18,0.05
747,1133,-19,-19,0.05
748,1021,-20,-20,0.05
749,1227,-16,-16,0.05
750,1158,-18,-18,0.05
751,1032,-19,-19,0.05
752,932,-20,-20,0.05
753,1320,-19,-19,0.05
754,922,-20,-20,0.05
755,1201,-19,-19,0.05
756,1208,-19,-19,0.05
757,976,-19,-19,0.05
758,1088,-19,-19,0.05
759,1122,-19,-19,0.05
760,1340,-18,-18,0.05
761,899,-20,-20,0.05
762,842,-20,-20,0.05
763,1474,-17,-17,0.05
764,1167,-18,-18,0.05
765,1296,-18,-18,0.05
766,1040,-19,-19,0.05
767,903,-20,-20,0.05
768,1057,-20,-20,0.05
769,1127,-19,-19,0.05
770,1208,-18,-18,0.05
771,958,-20,-20,0.05
772,1068,-18,-18,0.05
773,1144,-18,-18,0.05
774,948,-19,-19,0.05
775,1319,-19,-19,0.05
776,1004,-19,-19,0.05
777,1332,-18,-18,0.05
778,1197,-19,-19,0.05
779,1210,-19,-19,0.05
780,1243,-19,-19,0.05
781,1115,-19,-19,0.05
782,1586,-16,-16,0.05
783,1205,-18,-18,0.05
784,1566,-17,-17,0.05
785,1205,-18,-18,0.05
786,1106,-18,-18,0.05
787,1057,-20,-20,0.05
788,1378,-17,-17,0.05
789,1267,-18,-18,0.05
790,1268,-19,-19,0.05
791,932,-20,-20,0.05
792,1197,-20,-20,0.05
793,1106,-19,-19,0.05
794,1289,-20,-20,0.05
795,1472,-17,-17,0.05
796,1591,-16,-16,0.05
797,1224,-19,-19,0.05
798,1413,-19,-19,0.05
799,1006,-19,-19,0.05
